"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"1","100","BMW","GRAB",NA,"Chloride",1,29.2,"mg/L","1.0",2020-08-22,2020-08-23,1899-12-31 13:15:00,"flood","filtered in lab that evening","GEL",NA,"duplicate sample id",NA
"2","101","BMW","GRAB",NA,"Chloride",1,30,"mg/L","1.0",2020-08-22,2020-08-23,1899-12-31 13:15:00,"flood","filtered in lab that evening","GEL",NA,"duplicate sample id",NA
"3","102","BMW","GRAB",NA,"Chloride",1,29.2,"mg/L","1.0",2020-08-22,2020-08-23,1899-12-31 13:15:00,"flood","filtered in lab that evening","GEL",NA,"duplicate sample id",NA
"4","103","SS","GRAB",NA,"Chloride",1,9.56,"mg/L","1.0",NA,2020-08-27,1899-12-31 10:30:00,"baseflow","DOC only, pre flood redo to get triplicates, filtered in lab next day","GEL",NA,"duplicate sample id",NA
"5","104","SS","GRAB",NA,"Chloride",1,9.16,"mg/L","1.0",NA,2020-08-27,1899-12-31 10:30:00,"baseflow","DOC only, pre flood redo to get triplicates, filtered in lab next day","GEL",NA,"duplicate sample id",NA
"6","105","SS","GRAB",NA,"Chloride",1,9.38,"mg/L","1.0",NA,2020-08-27,1899-12-31 10:30:00,"baseflow","DOC only, pre flood redo to get triplicates, filtered in lab next day","GEL",NA,"duplicate sample id",NA
"7","106","UPSS","GRAB",NA,"Chloride",1,7.93,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 08:45:00,"flood","filtered DOC in lab that evening","GEL",NA,"duplicate sample id",NA
"8","107","UPSS","GRAB",NA,"Chloride",1,10.9,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 08:45:00,"flood","filtered DOC in lab that evening","GEL",NA,"duplicate sample id",NA
"9","108","UPSS","GRAB",NA,"Chloride",1,11.5,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 08:45:00,"flood","filtered DOC in lab that evening","GEL",NA,"duplicate sample id",NA
"10","110","SS","GRAB",NA,"Chloride",1,9.04,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 09:45:00,"flood","filtered DOC in lab next day","GEL",NA,"duplicate sample id",NA
"11","111","SS","GRAB",NA,"Chloride",1,9.76,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 09:45:00,"flood","filtered DOC in lab next day","GEL",NA,"duplicate sample id",NA
"12","112","SS","GRAB",NA,"Chloride",1,10.1,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 09:45:00,"flood","filtered DOC in lab next day","GEL",NA,NA,NA
"13","114","RV","GRAB",NA,"Chloride",1,8.16,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 12:00:00,"flood","filtered DOC in lab next day","GEL",NA,NA,NA
"14","115","RV","GRAB",NA,"Chloride",1,10.2,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 12:00:00,"flood","filtered DOC in lab next day","GEL",NA,NA,NA
"15","116","RV","GRAB",NA,"Chloride",1,8.45,"mg/L","1.0",2020-08-30,2020-08-31,1899-12-31 12:00:00,"flood","filtered DOC in lab next day","GEL",NA,NA,NA
"16","148","BMW","GRAB",NA,"Chloride",1,18.3,"mg/L","1.0",NA,2020-12-28,NA,"baseflow","at SUNA","GEL",NA,NA,NA
"17","1","RC","ISCO","1.0","DOC",1,8.378,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 01:59:00,"flood",NA,"GEL",NA,NA,NA
"18","1","RC","ISCO","1.0","DOC",1,8.162,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 01:59:00,"flood",NA,"GEL",NA,NA,NA
"19","9","RC","ISCO","9.0","DOC",1,6.051,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 03:59:00,"flood",NA,"GEL",NA,NA,NA
"20","9","RC","ISCO","9.0","DOC",1,5.13,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 03:59:00,"flood",NA,"GEL",NA,NA,NA
"21","18","RC","ISCO","18.0","DOC",1,7.419,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 10:14:00,"flood",NA,"GEL",NA,NA,NA
"22","18","RC","ISCO","18.0","DOC",1,6.357,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 10:14:00,"flood",NA,"GEL",NA,NA,NA
"23","19","CC","ISCO","2.0","DOC",1,6.264,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 02:48:00,"flood",NA,"GEL",NA,NA,NA
"24","19","CC","ISCO","2.0","DOC",1,5.626,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 02:48:00,"flood",NA,"GEL",NA,NA,NA
"25","25","CC","ISCO","8.0","DOC",1,4.667,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 04:18:00,"flood",NA,"GEL",NA,NA,NA
"26","25","CC","ISCO","8.0","DOC",1,5.346,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 04:18:00,"flood",NA,"GEL",NA,NA,NA
"27","33","CC","ISCO","16.0","DOC",1,4.576,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 08:48:00,"flood",NA,"GEL",NA,NA,NA
"28","33","CC","ISCO","16.0","DOC",1,4.656,"mg/L","6.0",2021-09-01,2021-09-01,1899-12-31 08:48:00,"flood",NA,"GEL",NA,NA,NA
"29","35","MW","GRAB",NA,"DOC",1,6.47,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 11:26:00,"flood",NA,"GEL",NA,NA,NA
"30","35","MW","GRAB",NA,"DOC",1,NA,NA,"6.0",2021-09-01,2021-09-01,1899-12-31 11:26:00,"flood",NA,"GEL","missing check lability",NA,NA
"31","37","RV","GRAB",NA,"DOC",1,7.375,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 08:59:00,"flood",NA,"GEL",NA,NA,NA
"32","37","RV","GRAB",NA,"DOC",1,NA,NA,"6.0",2021-09-01,2021-09-01,1899-12-31 08:59:00,"flood",NA,"GEL","missing check lability",NA,NA
"33","38","RC","GRAB",NA,"DOC",1,8.098,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 07:38:00,"flood",NA,"GEL",NA,NA,NA
"34","38","RC","GRAB",NA,"DOC",1,NA,NA,"6.0",2021-09-01,2021-09-01,1899-12-31 07:38:00,"flood",NA,"GEL","missing check lability",NA,NA
"35","39","CC","GRAB",NA,"DOC",1,7.022,"mg/L","5.0",2021-09-01,2021-09-01,1899-12-31 10:20:00,"flood",NA,"GEL",NA,NA,NA
"36","39","CC","GRAB",NA,"DOC",1,NA,NA,"6.0",2021-09-01,2021-09-01,1899-12-31 10:20:00,"flood",NA,"GEL","missing",NA,NA
"37","40","CC","ISCO","5.0","DOC",1,9.635,"mg/L","5.0",2021-08-18,2021-08-18,1899-12-31 15:07:00,"flood",NA,"GEL",NA,NA,NA
"38","40","CC","ISCO","5.0","DOC",1,12.96,"mg/L","6.0",2021-08-18,2021-08-18,1899-12-31 15:07:00,"flood",NA,"GEL",NA,NA,NA
"39","45","CC","ISCO","10.0","DOC",1,4.426,"mg/L","5.0",2021-08-18,2021-08-18,1899-12-31 16:22:00,"flood",NA,"GEL",NA,NA,NA
"40","45","CC","ISCO","10.0","DOC",1,4.431,"mg/L","6.0",2021-08-18,2021-08-18,1899-12-31 16:22:00,"flood",NA,"GEL",NA,NA,NA
"41","49","CC","ISCO","24.0","DOC",1,6.125,"mg/L","5.0",2021-08-18,2021-08-19,1899-12-31 04:07:00,"flood",NA,"GEL",NA,NA,NA
"42","49","CC","ISCO","24.0","DOC",1,7.364,"mg/L","6.0",2021-08-18,2021-08-19,1899-12-31 04:07:00,"flood",NA,"GEL",NA,NA,NA
"43","50","IS","ISCO","3.0","DOC",1,5.492,"mg/L","5.0",2021-08-14,2021-08-14,1899-12-31 18:47:00,"flood",NA,"GEL",NA,NA,NA
"44","50","IS","ISCO","3.0","DOC",1,6.851,"mg/L","6.0",2021-08-14,2021-08-14,1899-12-31 18:47:00,"flood",NA,"GEL",NA,NA,NA
"45","57","IS","ISCO","10.0","DOC",1,5.371,"mg/L","5.0",2021-08-14,2021-08-14,1899-12-31 20:31:00,"flood",NA,"GEL",NA,NA,NA
"46","57","IS","ISCO","10.0","DOC",1,6.972,"mg/L","6.0",2021-08-14,2021-08-14,1899-12-31 20:31:00,"flood",NA,"GEL",NA,NA,NA
"47","65","IS","ISCO","23.0","DOC",1,6.587,"mg/L","5.0",2021-08-14,2021-08-15,1899-12-31 07:46:00,"flood",NA,"GEL",NA,NA,NA
"48","65","IS","ISCO","23.0","DOC",1,5.85,"mg/L","6.0",2021-08-14,2021-08-15,1899-12-31 07:46:00,"flood",NA,"GEL",NA,NA,NA
"49","66","IS","GRAB",NA,"DOC",1,6.531,"mg/L","5.0",2021-08-18,2021-08-19,1899-12-31 08:45:00,"flood",NA,"GEL",NA,NA,NA
"50","66","IS","GRAB",NA,"DOC",1,NA,NA,"6.0",2021-08-18,2021-08-19,1899-12-31 08:45:00,"flood",NA,"GEL","missing check lability",NA,NA
"51","68","MW","GRAB",NA,"DOC",1,7.421,"mg/L","5.0",2021-08-18,2021-08-19,1899-12-31 12:44:00,"flood",NA,"GEL",NA,NA,NA
"52","68","MW","GRAB",NA,"DOC",1,6.709,"mg/L","6.0",2021-08-18,2021-08-19,1899-12-31 12:44:00,"flood",NA,"GEL",NA,NA,NA
"53","69","RC","ISCO","1.0","DOC",1,6.406,"mg/L","5.0",2021-08-18,2021-08-18,1899-12-31 15:06:00,"flood",NA,"GEL",NA,NA,NA
"54","69","RC","ISCO","1.0","DOC",1,5.91,"mg/L","6.0",2021-08-18,2021-08-18,1899-12-31 15:06:00,"flood",NA,"GEL",NA,NA,NA
"55","77","RC","ISCO","9.0","DOC",1,5.515,"mg/L","5.0",2021-08-18,2021-08-18,1899-12-31 17:06:00,"flood",NA,"GEL",NA,NA,NA
