"","SampleID","DateTime","Site","Analyte","Type","Bottle_number","Event_Date","Stage","N","final_conc"
"1","1",2021-09-01 01:59:00,"RC","DOC_mgL","ISCO","1.0",2021-09-01,"flood",2,8.27
"2","1",2021-09-01 01:59:00,"RC","SRP_ugL","ISCO","1.0",2021-09-01,"flood",2,270.5
"3","1",2021-09-01 01:59:00,"RC","TC_mgL","ISCO","1.0",2021-09-01,"flood",2,NA
"4","1",2021-09-01 01:59:00,"RC","TDP_mgL","ISCO","1.0",2021-09-01,"flood",2,0.263
"5","1",2021-09-01 01:59:00,"RC","TN_mgL","ISCO","1.0",2021-09-01,"flood",2,1.317
"6","1",2021-09-01 01:59:00,"RC","ions_uM","ISCO","1.0",2021-09-01,"flood",4,1
"7","10",2021-09-01 04:14:00,"RC","TC_mgL","ISCO","10.0",2021-09-01,"flood",2,12.585
"8","100",2020-08-23 13:15:00,"BMW","DOC_mgL","GRAB",NA,2020-08-22,"flood",1,46.4
"9","100",2020-08-23 13:15:00,"BMW","SRP_ugL","GRAB",NA,2020-08-22,"flood",1,46.5
"10","100",2020-08-23 13:15:00,"BMW","TN_mgL","GRAB",NA,2020-08-22,"flood",1,3.532
"11","100",2021-08-18 15:43:00,"SS","TC_mgL","ISCO","14.0",2021-08-18,"flood",2,NA
"12","1000",2021-12-10 11:45:00,"SS","TOC_mgL","GRAB",NA,2021-12-10,"flood",1,6.47
"13","1005",2021-07-25 15:54:00,"RC","DOC_mgL","ISCO","11.0",2021-07-25,"flood",1,7.276
"14","1005",2021-07-25 15:54:00,"RC","TN_mgL","ISCO","11.0",2021-07-25,"flood",1,1.983
"15","1006",2021-07-25 16:50:00,"SS","DOC_mgL","ISCO","2.0",2021-07-25,"flood",1,10.12
"16","1006",2021-07-25 16:50:00,"SS","TN_mgL","ISCO","2.0",2021-07-25,"flood",1,1.586
"17","1007",2021-07-25 18:05:00,"SS","DOC_mgL","ISCO","7.0",2021-07-25,"flood",1,9.247
"18","1007",2021-07-25 18:05:00,"SS","TN_mgL","ISCO","7.0",2021-07-25,"flood",1,2.16
"19","1008",2021-07-25 16:50:00,"SS","DOC_mgL","ISCO","2.0",2021-07-25,"flood",1,12.58
"20","1008",2021-07-25 16:50:00,"SS","TN_mgL","ISCO","2.0",2021-07-25,"flood",1,1.778
"21","1009",2021-08-12 21:56:00,"CC","DOC_mgL","ISCO","23.0",2021-08-12,"flood",1,10.18
"22","1009",2021-08-12 21:56:00,"CC","TN_mgL","ISCO","23.0",2021-08-12,"flood",1,3.199
"23","101",2020-08-23 13:15:00,"BMW","DOC_mgL","GRAB",NA,2020-08-22,"flood",1,76.21
"24","101",2020-08-23 13:15:00,"BMW","SRP_ugL","GRAB",NA,2020-08-22,"flood",1,82.9
"25","101",2020-08-23 13:15:00,"BMW","TN_mgL","GRAB",NA,2020-08-22,"flood",1,6.204
"26","101",2021-08-18 16:43:00,"SS","TC_mgL","ISCO","15.0",2021-08-18,"flood",2,NA
"27","1010",2021-08-12 21:56:00,"CC","DOC_mgL","ISCO","23.0",2021-08-12,"flood",1,10.13
"28","1010",2021-08-12 21:56:00,"CC","TN_mgL","ISCO","23.0",2021-08-12,"flood",1,3.359
"29","1011",2021-09-01 15:29:00,"RC","DOC_mgL","ISCO","7.0",2021-09-01,"flood",1,5.371
"30","1011",2021-09-01 15:29:00,"RC","TN_mgL","ISCO","7.0",2021-09-01,"flood",1,0.6231
"31","1012",2021-09-01 15:29:00,"RC","DOC_mgL","ISCO","7.0",2021-09-01,"flood",1,7.656
"32","1012",2021-09-01 15:29:00,"RC","TN_mgL","ISCO","7.0",2021-09-01,"flood",1,0.8328
"33","1013",2021-09-01 15:44:00,"RC","DOC_mgL","ISCO","8.0",2021-09-01,"flood",1,4.88
"34","1013",2021-09-01 15:44:00,"RC","TN_mgL","ISCO","8.0",2021-09-01,"flood",1,0.6122
"35","1014",2021-09-01 15:44:00,"RC","DOC_mgL","ISCO","8.0",2021-09-01,"flood",1,6.607
"36","1014",2021-09-01 15:44:00,"RC","TN_mgL","ISCO","8.0",2021-09-01,"flood",1,0.7654
"37","1015",2021-07-26 18:05:00,"SS","DOC_mgL","ISCO","7.0",2021-07-25,"flood",1,10.76
"38","1015",2021-07-26 18:05:00,"SS","TN_mgL","ISCO","7.0",2021-07-25,"flood",1,2.226
