"SampleID","DateTime","Site","Type","Bottle_number","Event_Date","Stage","DOC_mgL","SRP_ugL","TC_mgL","TDP_mgL","TN_mgL","ions_uM","TOC_mgL","N_DOC_mgL","N_NH4_mgNL","N_SRP_ugL","N_TC_mgL","N_TDP_mgL","N_TN_mgL","N_ions_uM","N_Chloride_mgL","N_NO3_mgNL","N_TOC_mgL","NH4N_color_mgL","Cl_color_mgL","NO3N_color_mgL"
"1",2021-09-01 01:59:00,"RC","ISCO","1.0",2021-09-01,"flood",8.27,270.5,NA,0.263,1.317,1,NA,2,2,2,2,2,2,4,NA,NA,NA,0.117,NA,NA
"10",2021-09-01 04:14:00,"RC","ISCO","10.0",2021-09-01,"flood",NA,NA,12.585,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2020-08-23 13:15:00,"BMW","GRAB",NA,2020-08-22,"flood",46.4,46.5,NA,NA,3.532,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.0558,29.2,0.00646
"100",2021-08-18 15:43:00,"SS","ISCO","14.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000",2021-12-10 11:45:00,"SS","GRAB",NA,2021-12-10,"flood",NA,NA,NA,NA,NA,NA,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1005",2021-07-25 15:54:00,"RC","ISCO","11.0",2021-07-25,"flood",7.276,NA,NA,NA,1.983,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1006",2021-07-25 16:50:00,"SS","ISCO","2.0",2021-07-25,"flood",10.12,NA,NA,NA,1.586,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1007",2021-07-25 18:05:00,"SS","ISCO","7.0",2021-07-25,"flood",9.247,NA,NA,NA,2.16,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1008",2021-07-25 16:50:00,"SS","ISCO","2.0",2021-07-25,"flood",12.58,NA,NA,NA,1.778,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1009",2021-08-12 21:56:00,"CC","ISCO","23.0",2021-08-12,"flood",10.18,NA,NA,NA,3.199,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"101",2020-08-23 13:15:00,"BMW","GRAB",NA,2020-08-22,"flood",76.21,82.9,NA,NA,6.204,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.071,30,0.00085
"101",2021-08-18 16:43:00,"SS","ISCO","15.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010",2021-08-12 21:56:00,"CC","ISCO","23.0",2021-08-12,"flood",10.13,NA,NA,NA,3.359,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1011",2021-09-01 15:29:00,"RC","ISCO","7.0",2021-09-01,"flood",5.371,NA,NA,NA,0.6231,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1012",2021-09-01 15:29:00,"RC","ISCO","7.0",2021-09-01,"flood",7.656,NA,NA,NA,0.8328,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1013",2021-09-01 15:44:00,"RC","ISCO","8.0",2021-09-01,"flood",4.88,NA,NA,NA,0.6122,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1014",2021-09-01 15:44:00,"RC","ISCO","8.0",2021-09-01,"flood",6.607,NA,NA,NA,0.7654,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1015",2021-07-26 18:05:00,"SS","ISCO","7.0",2021-07-25,"flood",10.76,NA,NA,NA,2.226,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1016",2021-07-25 16:13:00,"MW","ISCO","5.0",2021-07-25,"flood",8.474,NA,NA,NA,0.6671,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1017",2021-09-01 14:59:00,"RC","ISCO","5.0",2021-09-01,"flood",7.48,NA,NA,NA,0.6982,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1018",2021-09-01 14:59:00,"RC","ISCO","5.0",2021-09-01,"flood",6.063,NA,NA,NA,0.6242,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
