Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
1,DOC_mg/L,RC,1,2021-09-01T01:59:00Z,8.27,2
1,NH4_mg/L,RC,1,2021-09-01T01:59:00Z,0.11699999999999999,2
1,SRP_ug/L,RC,1,2021-09-01T01:59:00Z,270.5,2
1,TDP_mg/L,RC,1,2021-09-01T01:59:00Z,0.263,2
1,TN_mg/L,RC,1,2021-09-01T01:59:00Z,1.317,2
6,TC_mg/L,RC,1,2021-09-01T03:14:00Z,18.13,1
8,TC_mg/L,RC,1,2021-09-01T03:44:00Z,16.77,1
9,DOC_mg/L,RC,1,2021-09-01T03:59:00Z,5.5905000000000005,2
9,NH4_mg/L,RC,1,2021-09-01T03:59:00Z,0.059899999999999995,2
9,SRP_ug/L,RC,1,2021-09-01T03:59:00Z,322,2
9,TDP_mg/L,RC,1,2021-09-01T03:59:00Z,0.298,2
9,TN_mg/L,RC,1,2021-09-01T03:59:00Z,1.3170000000000002,2
10,TC_mg/L,RC,1,2021-09-01T04:14:00Z,12.585,2
11,TC_mg/L,RC,1,2021-09-01T04:29:00Z,14.185,2
12,TC_mg/L,RC,1,2021-09-01T04:44:00Z,19.43,2
13,TC_mg/L,RC,1,2021-09-01T05:14:00Z,18.46,2
14,TC_mg/L,RC,1,2021-09-01T06:14:00Z,20.195,2
15,TC_mg/L,RC,1,2021-09-01T07:14:00Z,18.84,2
17,TC_mg/L,RC,1,2021-09-01T09:14:00Z,20.03,1
18,DOC_mg/L,RC,1,2021-09-01T10:14:00Z,6.888,2
18,NH4_mg/L,RC,1,2021-09-01T10:14:00Z,0.0259,2
18,SRP_ug/L,RC,1,2021-09-01T10:14:00Z,235,2
18,TC_mg/L,RC,1,2021-09-01T10:14:00Z,20.37,1
18,TDP_mg/L,RC,1,2021-09-01T10:14:00Z,0.22399999999999998,2
18,TN_mg/L,RC,1,2021-09-01T10:14:00Z,2.41,2
19,DOC_mg/L,CC,1,2021-09-01T02:48:00Z,5.945,2
19,NH4_mg/L,CC,1,2021-09-01T02:48:00Z,0.07885,2
19,SRP_ug/L,CC,1,2021-09-01T02:48:00Z,457,2
19,SRP_ug/L,CC,10,2021-09-01T02:48:00Z,413,1
19,TDP_mg/L,CC,1,2021-09-01T02:48:00Z,0.42100000000000004,2
19,TN_mg/L,CC,1,2021-09-01T02:48:00Z,1.865,2
25,DOC_mg/L,CC,1,2021-09-01T04:18:00Z,5.0065,2
25,NH4_mg/L,CC,1,2021-09-01T04:18:00Z,0.0314,2
25,SRP_ug/L,CC,1,2021-09-01T04:18:00Z,243,2
25,TDP_mg/L,CC,1,2021-09-01T04:18:00Z,0.262,2
25,TN_mg/L,CC,1,2021-09-01T04:18:00Z,1.5150000000000001,2
33,DOC_mg/L,CC,1,2021-09-01T08:48:00Z,4.616,2
33,NH4_mg/L,CC,1,2021-09-01T08:48:00Z,0.033100000000000004,2
33,SRP_ug/L,CC,1,2021-09-01T08:48:00Z,224,2
33,TDP_mg/L,CC,1,2021-09-01T08:48:00Z,0.184,1
33,TN_mg/L,CC,1,2021-09-01T08:48:00Z,1.562,1
35,DOC_mg/L,MW,1,2021-09-01T11:26:00Z,6.47,1
35,NH4_mg/L,MW,1,2021-09-01T11:26:00Z,0.0893,2
35,SRP_ug/L,MW,1,2021-09-01T11:26:00Z,238,2
35,TDP_mg/L,MW,1,2021-09-01T11:26:00Z,0.218,1
35,TN_mg/L,MW,1,2021-09-01T11:26:00Z,1.646,1
